Z0x,Z0y,Z1x,Z1y,Z2x,Z2y,Z3x,Z3y,Critx,Crity
1,1.06,0.94,0.94,0.94,0.96,0.95,0.95,0.95,0.951
1.02,1.04,0.95,0.95,0.94,0.98,0.96,0.96,0.9595,0.961
1.02,1.06,0.96,0.96,0.94,1,0.97,0.97,0.97,0.971
1.04,1.04,0.97,0.97,0.94,1.02,0.96,0.961,0.97,1.054
1.04,1.06,0.98,1.04,0.94,1.04,0.949,0.949,0.966,1.06
1.06,1.06,0.98,1.06,0.94,1.06,,,0.98,0.986
1.03,1.03,1,1.02,0.96,0.98,,,0.98,1.031
1.01,1.05,1,1.04,0.96,1,,,0.983,1.005
1,1.053,0.99,1,0.96,1.02,,,1,1.052
1.02,1.035,1,1.052,0.96,1.04,,,1.01,1.043
1.02,1.034,1,1.01,0.96,1.06,,,1.02,1.033
0.993,1.06,1.01,1.02,0.98,1,,,1.027,1.027
0.995,1.06,1.01,1.03,0.98,1.02,,,,
0.997,1.06,1.02,1.03,0.94,0.95,,,,
1.01,1.045,1.01,1.04,0.95,0.96,,,,
1.01,1.047,1,1.05,0.95,0.97,,,,
0.992,1.06,0.99,1.05,0.96,0.97,,,,
1.01,1.044,0.99,1.06,0.97,0.98,,,,
,,0.99,1.02,0.97,0.99,,,,
,,0.99,1.03,0.98,0.99,,,,
,,0.97,1.06,0.98,1.03,,,,
,,0.98,0.98,0.97,1.03,,,,
,,0.99,0.99,0.97,1.04,,,,
,,1,1,0.97,1.05,,,,
,,1.01,1.01,0.94,0.943,,,,
,,1.02,1.02,0.96,0.963,,,,
,,0.98,0.983,0.96,0.962,,,,
,,0.98,0.985,0.98,0.987,,,,
,,0.98,0.986,0.98,1.031,,,,
,,0.98,1.032,0.95,0.953,,,,
,,0.98,1.033,0.95,0.955,,,,
,,1,1.051,0.95,0.957,,,,
,,1,1.052,0.97,0.973,,,,
,,1.02,1.033,0.97,0.975,,,,
,,0.94,0.94,0.97,0.977,,,,
,,0.943,0.943,0.97,1.053,,,,
,,0.945,0.945,0.963,1.06,,,,
,,0.947,0.947,0.965,1.06,,,,
,,0.948,0.948,0.95,0.951,,,,
,,0.97,1.057,0.95,0.952,,,,
,,0.97,1.06,0.97,0.971,,,,
,,0.967,1.06,0.97,0.972,,,,
,,1.01,1.043,0.97,1.054,,,,
,,0.991,1.06,0.966,1.06,,,,
,,0.983,1.02,0.983,1,,,,
,,0.985,1,0.983,1.01,,,,
,,0.985,1.01,,,,,,
,,0.985,1.02,,,,,,
,,0.987,1,,,,,,
,,0.987,1.01,,,,,,
,,0.987,1.02,,,,,,
